       6     153      52      68

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/nl3wr_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.470648E-01   6.273337E+14    1.05946E+35   0.000000000E+00  -5.168368E-01   0.000000000E+00
     1      10.000000   3.470646E-01   6.273334E+14    1.05946E+35   1.321150313E-09  -5.168366E-01   1.224083695E-09
     2      11.666665   3.470646E-01   6.273334E+14    1.05946E+35   2.097937137E-09  -5.168366E-01   1.943799083E-09
     3      13.611108   3.470646E-01   6.273333E+14    1.05946E+35   3.331445132E-09  -5.168365E-01   3.086679925E-09
     4      15.879624   3.470645E-01   6.273331E+14    1.05946E+35   5.290208606E-09  -5.168364E-01   4.901531213E-09
     5      18.526224   3.470644E-01   6.273329E+14    1.05945E+35   8.400649135E-09  -5.168363E-01   7.783445333E-09
     6      21.613923   3.470643E-01   6.273327E+14    1.05945E+35   1.333990632E-08  -5.168361E-01   1.235981280E-08
     7      25.216234   3.470641E-01   6.273323E+14    1.05945E+35   2.118324827E-08  -5.168358E-01   1.962690311E-08
     8      29.418926   3.470639E-01   6.273319E+14    1.05945E+35   3.363815126E-08  -5.168355E-01   3.116674805E-08
     9      34.322059   3.470636E-01   6.273312E+14    1.05945E+35   5.341600345E-08  -5.168350E-01   4.949153967E-08
    10      40.042367   3.470632E-01   6.273304E+14    1.05944E+35   8.482234356E-08  -5.168343E-01   7.859051173E-08
    11      46.716039   3.470627E-01   6.273292E+14    1.05944E+35   1.346941099E-07  -5.168334E-01   1.247983459E-07
    12      54.501958   3.470619E-01   6.273276E+14    1.05943E+35   2.138878959E-07  -5.168322E-01   1.981741223E-07
    13      63.585478   3.470609E-01   6.273254E+14    1.05942E+35   3.396431132E-07  -5.168306E-01   3.146909429E-07
    14      74.182837   3.470595E-01   6.273224E+14    1.05940E+35   5.393343222E-07  -5.168284E-01   4.997127561E-07
    15      86.546291   3.470577E-01   6.273184E+14    1.05938E+35   8.564291774E-07  -5.168253E-01   7.935149616E-07
    16     100.970115   3.470551E-01   6.273129E+14    1.05935E+35   1.359948094E-06  -5.168212E-01   1.260049919E-06
    17     117.797581   3.470516E-01   6.273054E+14    1.05932E+35   2.159482969E-06  -5.168155E-01   2.000864080E-06
    18     137.429104   3.470469E-01   6.272952E+14    1.05926E+35   3.429040144E-06  -5.168078E-01   3.177193180E-06
    19     160.331719   3.470405E-01   6.272813E+14    1.05919E+35   5.444888702E-06  -5.167974E-01   5.045038438E-06
    20     187.050124   3.470317E-01   6.272624E+14    1.05910E+35   8.645633142E-06  -5.167832E-01   8.010844325E-06
    21     218.219509   3.470198E-01   6.272367E+14    1.05897E+35   1.372754384E-05  -5.167638E-01   1.271986542E-05
    22     254.580479   3.470036E-01   6.272016E+14    1.05879E+35   2.179580277E-05  -5.167375E-01   2.019638728E-05
    23     296.996352   3.469815E-01   6.271540E+14    1.05855E+35   3.460438353E-05  -5.167016E-01   3.206617089E-05
    24     346.473187   3.469514E-01   6.270891E+14    1.05823E+35   5.493633982E-05  -5.166529E-01   5.090920837E-05
    25     404.182905   3.469105E-01   6.270009E+14    1.05778E+35   8.720632532E-05  -5.165865E-01   8.081885454E-05
    26     471.489868   3.468549E-01   6.268808E+14    1.05718E+35   1.384144292E-04  -5.164962E-01   1.282874806E-04
    27     549.981263   3.467792E-01   6.267175E+14    1.05635E+35   2.196544836E-04  -5.163734E-01   2.036080556E-04
    28     641.501567   3.466762E-01   6.264953E+14    1.05523E+35   3.484955232E-04  -5.162064E-01   3.230894495E-04
    29     748.191189   3.465361E-01   6.261932E+14    1.05372E+35   5.527340183E-04  -5.159793E-01   5.125519435E-04
    30     872.529104   3.463467E-01   6.257844E+14    1.05165E+35   8.762892338E-04  -5.156707E-01   8.128301442E-04
    31    1017.378276   3.460920E-01   6.252344E+14    1.04885E+35   1.388431393E-03  -5.152516E-01   1.288410001E-03
    32    1186.032587   3.457459E-01   6.244874E+14    1.04506E+35   2.198137439E-03  -5.146828E-01   2.040916001E-03
    33    1382.263965   3.452763E-01   6.234736E+14    1.03992E+35   3.476282122E-03  -5.139116E-01   3.230067469E-03
    34    1610.359960   3.446394E-01   6.220994E+14    1.03299E+35   5.489561435E-03  -5.128677E-01   5.105945672E-03
    35    1875.145630   3.437640E-01   6.202238E+14    1.02365E+35   8.651592260E-03  -5.114572E-01   8.058082044E-03
    36    2181.980920   3.425686E-01   6.176753E+14    1.01113E+35   1.359831008E-02  -5.095563E-01   1.268886352E-02
    37    2536.692391   3.409387E-01   6.142234E+14    9.94420E+34   2.129604737E-02  -5.070036E-01   1.992102491E-02
    38    2945.429088   3.387609E-01   6.096215E+14    9.72277E+34   3.318953698E-02  -5.035919E-01   3.114920751E-02
    39    3414.342092   3.358983E-01   6.035730E+14    9.43207E+34   5.139150180E-02  -4.990617E-01   4.844391647E-02
    40    3949.074652   3.321937E-01   5.957443E+14    9.05512E+34   7.889561763E-02  -4.930985E-01   7.480091955E-02
    41    4553.929840   3.272258E-01   5.853833E+14    8.57437E+34   1.197507810E-01  -4.853404E-01   1.143913752E-01
    42    5231.058100   3.208580E-01   5.721938E+14    7.97433E+34   1.790940808E-01  -4.753995E-01   1.727273802E-01
    43    5978.379883   3.127048E-01   5.555146E+14    7.24598E+34   2.628280630E-01  -4.629194E-01   2.565507081E-01
    44    6788.202071   3.025793E-01   5.350608E+14    6.39296E+34   3.766245205E-01  -4.476591E-01   3.730533983E-01
    45    7644.845535   2.901826E-01   5.104493E+14    5.43791E+34   5.240871703E-01  -4.296277E-01   5.281326515E-01
    46    8523.803310   2.754610E-01   4.817694E+14    4.42580E+34   7.042742975E-01  -4.092188E-01   7.235671496E-01
    47    9391.857459   2.583497E-01   4.491533E+14    3.42211E+34   9.092003808E-01  -3.873151E-01   9.534395914E-01
    48   10210.859876   2.391311E-01   4.133148E+14    2.49947E+34   1.123682524E+00  -3.652388E-01   1.202454217E+00
    49   10943.744364   2.182166E-01   3.751355E+14    1.71998E+34   1.328053317E+00  -3.445203E-01   1.447578825E+00
    50   11562.915779   1.960161E-01   3.353971E+14    1.11698E+34   1.504290149E+00  -3.264924E-01   1.664991433E+00
    51   12056.988774   1.733655E-01   2.954982E+14    6.88789E+33   1.641906869E+00  -3.119108E-01   1.838545819E+00
    52   12430.927654   1.506415E-01   2.559810E+14    4.07616E+33   1.739816468E+00  -3.008591E-01   1.963970615E+00
    53   12702.737883   1.281115E-01   2.171694E+14    2.34350E+33   1.804217839E+00  -2.928763E-01   2.047309155E+00
    54   12895.855763   1.058091E-01   1.790134E+14    1.32708E+33   1.843996505E+00  -2.872622E-01   2.099097170E+00
    55   13033.253352   8.431101E-02   1.425174E+14    7.49598E+32   1.867524498E+00  -2.833134E-01   2.129829271E+00
    56   13133.286020   6.214754E-02   1.049523E+14    4.27985E+32   1.881045904E+00  -2.804709E-01   2.147503133E+00
    57   13212.343552   4.446083E-02   7.496983E+13    2.47813E+32   1.888817715E+00  -2.782490E-01   2.157672523E+00
    58   13277.431399   3.129728E-02   5.271917E+13    1.43971E+32   1.893397521E+00  -2.764388E-01   2.163667869E+00
    59   13331.913049   2.200728E-02   3.703224E+13    8.35029E+31   1.896116556E+00  -2.749381E-01   2.167227587E+00
    60   13377.401429   1.541589E-02   2.591754E+13    4.84139E+31   1.897721032E+00  -2.736961E-01   2.169328188E+00
    61   13415.440682   1.078556E-02   1.811739E+13    2.80597E+31   1.898665163E+00  -2.726653E-01   2.170564215E+00
    62   13447.229473   7.497004E-03   1.258606E+13    1.62635E+31   1.899219017E+00  -2.718095E-01   2.171289313E+00
    63   13473.927828   5.129149E-03   8.607901E+12    9.46401E+30   1.899541556E+00  -2.710948E-01   2.171711430E+00
    64   13496.770440   3.357980E-03   5.632373E+12    5.57457E+30   1.899727663E+00  -2.704862E-01   2.171954958E+00
    65   13517.430159   2.040963E-03   3.421684E+12    3.38601E+30   1.899833175E+00  -2.699382E-01   2.172093021E+00
    66   13538.172069   1.149830E-03   1.926305E+12    2.07084E+30   1.899897033E+00  -2.693902E-01   2.172176576E+00
    67   13560.796810   6.273330E-04   1.049832E+12    1.30527E+30   1.899934476E+00  -2.687950E-01   2.172225588E+00
    68   13587.076795   3.694235E-04   6.179823E+11    8.04349E+29   1.899959181E+00  -2.681071E-01   2.172257932E+00
    69   13614.731044   1.862750E-04   3.111990E+11    5.45310E+29   1.899972069E+00  -2.673870E-01   2.172274811E+00
    70   13652.148303   1.210944E-04   2.022060E+11    3.24315E+29   1.899983189E+00  -2.664190E-01   2.172289374E+00
    71   13686.657502   7.922587E-05   1.321617E+11    1.91353E+29   1.899989964E+00  -2.655326E-01   2.172298244E+00
    72   13718.028557   5.142863E-05   8.570973E+10    1.13752E+29   1.899993964E+00  -2.647320E-01   2.172303482E+00
    73   13746.966669   3.444599E-05   5.738870E+10    6.69035E+28   1.899996405E+00  -2.639979E-01   2.172306677E+00
    74   13772.535365   2.236837E-05   3.724472E+10    3.97784E+28   1.899997831E+00  -2.633526E-01   2.172308544E+00
    75   13796.079899   1.491771E-05   2.482474E+10    2.33736E+28   1.899998701E+00  -2.627614E-01   2.172309683E+00
    76   13816.934753   9.754956E-06   1.622425E+10    1.38773E+28   1.899999209E+00  -2.622399E-01   2.172310347E+00
