       6     152      52      67

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/nl3wr_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.239275E-01   5.785521E+14    8.26380E+34   0.000000000E+00  -4.476549E-01   0.000000000E+00
     1      10.000000   3.239274E-01   5.785519E+14    8.26379E+34   1.218417426E-09  -4.476548E-01   1.142479622E-09
     2      11.666665   3.239274E-01   5.785518E+14    8.26379E+34   1.934801165E-09  -4.476547E-01   1.814214861E-09
     3      13.611108   3.239274E-01   5.785517E+14    8.26378E+34   3.072391352E-09  -4.476546E-01   2.880905026E-09
     4      15.879624   3.239273E-01   5.785516E+14    8.26378E+34   4.878841017E-09  -4.476546E-01   4.574768391E-09
     5      18.526224   3.239272E-01   5.785514E+14    8.26377E+34   7.747413112E-09  -4.476544E-01   7.264558277E-09
     6      21.613922   3.239271E-01   5.785512E+14    8.26376E+34   1.230259272E-08  -4.476543E-01   1.153583980E-08
     7      25.216234   3.239270E-01   5.785509E+14    8.26375E+34   1.953603490E-08  -4.476540E-01   1.831846545E-08
     8      29.418925   3.239268E-01   5.785505E+14    8.26373E+34   3.102244218E-08  -4.476537E-01   2.908899952E-08
     9      34.322057   3.239265E-01   5.785500E+14    8.26370E+34   4.926236455E-08  -4.476533E-01   4.619215631E-08
    10      40.042364   3.239261E-01   5.785492E+14    8.26367E+34   7.822654098E-08  -4.476528E-01   7.335122256E-08
    11      46.716036   3.239256E-01   5.785482E+14    8.26362E+34   1.242202676E-07  -4.476520E-01   1.164785690E-07
    12      54.501952   3.239250E-01   5.785468E+14    8.26356E+34   1.972559257E-07  -4.476509E-01   1.849626687E-07
    13      63.585469   3.239240E-01   5.785449E+14    8.26347E+34   3.132323843E-07  -4.476495E-01   2.937117387E-07
    14      74.182821   3.239228E-01   5.785423E+14    8.26335E+34   4.973955464E-07  -4.476476E-01   4.663987621E-07
    15      86.546267   3.239211E-01   5.785387E+14    8.26319E+34   7.898329996E-07  -4.476449E-01   7.406140161E-07
    16     100.970076   3.239188E-01   5.785339E+14    8.26298E+34   1.254198089E-06  -4.476413E-01   1.176046135E-06
    17     117.797518   3.239156E-01   5.785273E+14    8.26268E+34   1.991560759E-06  -4.476364E-01   1.867471253E-06
    18     137.429004   3.239113E-01   5.785184E+14    8.26228E+34   3.162396445E-06  -4.476297E-01   2.965374786E-06
    19     160.331561   3.239054E-01   5.785063E+14    8.26173E+34   5.021491184E-06  -4.476206E-01   4.708688345E-06
    20     187.049872   3.238974E-01   5.784897E+14    8.26098E+34   7.973342843E-06  -4.476082E-01   7.476753737E-06
    21     218.219108   3.238866E-01   5.784672E+14    8.25996E+34   1.266007823E-05  -4.475913E-01   1.187179452E-05
    22     254.579843   3.238718E-01   5.784366E+14    8.25858E+34   2.010093706E-05  -4.475684E-01   1.884977974E-05
    23     296.995341   3.238516E-01   5.783949E+14    8.25670E+34   3.191349680E-05  -4.475372E-01   2.992801897E-05
    24     346.471580   3.238242E-01   5.783382E+14    8.25413E+34   5.066438570E-05  -4.474947E-01   4.751435820E-05
    25     404.180353   3.237869E-01   5.782610E+14    8.25065E+34   8.042494129E-05  -4.474369E-01   7.542894327E-05
    26     471.485816   3.237364E-01   5.781564E+14    8.24591E+34   1.276508618E-04  -4.473583E-01   1.197306348E-04
    27     549.974778   3.236685E-01   5.780157E+14    8.23946E+34   2.025733013E-04  -4.472513E-01   1.900248149E-04
    28     641.490968   3.235762E-01   5.778243E+14    8.23070E+34   3.213948552E-04  -4.471058E-01   3.015298750E-04
    29     748.173831   3.234506E-01   5.775641E+14    8.21879E+34   5.097500653E-04  -4.469080E-01   4.783378904E-04
    30     872.500791   3.232798E-01   5.772102E+14    8.20261E+34   8.081418085E-04  -4.466393E-01   7.585461952E-04
    31    1017.332771   3.230477E-01   5.767294E+14    8.18067E+34   1.280448871E-03  -4.462743E-01   1.202307582E-03
    32    1185.961050   3.227324E-01   5.760762E+14    8.15093E+34   2.027167723E-03  -4.457789E-01   1.904402358E-03
    33    1382.152202   3.223043E-01   5.751896E+14    8.11068E+34   3.205869183E-03  -4.451074E-01   3.013750784E-03
    34    1610.185342   3.217244E-01   5.739888E+14    8.05632E+34   5.062474313E-03  -4.441983E-01   4.763438474E-03
    35    1874.871628   3.209512E-01   5.723868E+14    7.98311E+34   7.978436450E-03  -4.429702E-01   7.516417026E-03
    36    2181.532325   3.199056E-01   5.702214E+14    7.88490E+34   1.254015597E-02  -4.413154E-01   1.183362083E-02
    37    2535.945895   3.185042E-01   5.673247E+14    7.75380E+34   1.963874879E-02  -4.390937E-01   1.857366592E-02
    38    2944.166420   3.165521E-01   5.633345E+14    7.58003E+34   3.060530000E-02  -4.361256E-01   2.903179862E-02
    39    3412.316453   3.139202E-01   5.579854E+14    7.35181E+34   4.738415114E-02  -4.321857E-01   4.512537288E-02
    40    3945.958059   3.105129E-01   5.510595E+14    7.05576E+34   7.273082464E-02  -4.270018E-01   6.962319349E-02
    41    4549.194816   3.061469E-01   5.421911E+14    6.67794E+34   1.103724112E-01  -4.202624E-01   1.063701113E-01
    42    5223.524209   3.002354E-01   5.303799E+14    6.20624E+34   1.649949078E-01  -4.116397E-01   1.603848705E-01
    43    5966.918278   2.928787E-01   5.157456E+14    5.63329E+34   2.419974022E-01  -4.008288E-01   2.377794032E-01
    44    6770.600763   2.835847E-01   4.975007E+14    4.96238E+34   3.464224825E-01  -3.876442E-01   3.448614491E-01
    45    7618.318561   2.721231E-01   4.753318E+14    4.21159E+34   4.813421448E-01  -3.721182E-01   4.865626344E-01
    46    8484.829754   2.582571E-01   4.489788E+14    3.41721E+34   6.454552874E-01  -3.546255E-01   6.637020085E-01
    47    9336.881402   2.422435E-01   4.190525E+14    2.63118E+34   8.310809820E-01  -3.359547E-01   8.700843215E-01
    48   10135.770749   2.239779E-01   3.855721E+14    1.91208E+34   1.023716870E+00  -3.172808E-01   1.090784507E+00
    49   10845.938912   2.039068E-01   3.494425E+14    1.30857E+34   1.205356639E+00  -2.999005E-01   1.304800749E+00
    50   11442.087454   1.826737E-01   3.118269E+14    8.45103E+33   1.360260963E+00  -2.848991E-01   1.491729274E+00
    51   11914.729637   1.608858E-01   2.737417E+14    5.18751E+33   1.479772497E+00  -2.728596E-01   1.638635067E+00
    52   12270.998006   1.388664E-01   2.356575E+14    3.06131E+33   1.563854737E+00  -2.637794E-01   1.743334969E+00
    53   12530.093969   1.167701E-01   1.977389E+14    1.76038E+33   1.618620429E+00  -2.572203E-01   1.812096558E+00
    54   12715.799035   9.480230E-02   1.602530E+14    1.00013E+33   1.652257137E+00  -2.525679E-01   1.854537859E+00
    55   12850.399252   7.370135E-02   1.245686E+14    5.67272E+32   1.672177616E+00  -2.492352E-01   1.879726367E+00
    56   12951.094945   5.306185E-02   8.953905E+13    3.29613E+32   1.683464270E+00  -2.467712E-01   1.894010255E+00
    57   13034.052757   3.760947E-02   6.338596E+13    1.91293E+32   1.690211262E+00  -2.447647E-01   1.902557126E+00
    58   13103.162088   2.647610E-02   4.457619E+13    1.11146E+32   1.694213911E+00  -2.431117E-01   1.907628721E+00
    59   13161.042554   1.859770E-02   3.128096E+13    6.44780E+31   1.696593021E+00  -2.417415E-01   1.910643477E+00
    60   13209.446873   1.301942E-02   2.187968E+13    3.74041E+31   1.697997915E+00  -2.406060E-01   1.912423727E+00
    61   13249.983838   9.109328E-03   1.529549E+13    2.16802E+31   1.698826279E+00  -2.396626E-01   1.913473428E+00
    62   13283.870071   6.302296E-03   1.057911E+13    1.26024E+31   1.699310682E+00  -2.388794E-01   1.914087179E+00
    63   13312.544332   4.251956E-03   7.133884E+12    7.37273E+30   1.699592777E+00  -2.382205E-01   1.914444488E+00
    64   13337.564402   2.650054E-03   4.443946E+12    4.39800E+30   1.699754727E+00  -2.376485E-01   1.914649611E+00
    65   13361.641713   1.618655E-03   2.713101E+12    2.67236E+30   1.699849465E+00  -2.371007E-01   1.914769599E+00
    66   13385.717880   8.735032E-04   1.462776E+12    1.68678E+30   1.699904012E+00  -2.365554E-01   1.914838694E+00
    67   13414.031287   4.934887E-04   8.256917E+11    1.05677E+30   1.699939187E+00  -2.359173E-01   1.914883269E+00
    68   13445.624864   2.226168E-04   3.719728E+11    6.60661E+29   1.699961523E+00  -2.352095E-01   1.914911572E+00
    69   13489.712890   1.427786E-04   2.384224E+11    3.96340E+29   1.699976617E+00  -2.342289E-01   1.914930709E+00
    70   13531.334865   9.410628E-05   1.570576E+11    2.34771E+29   1.699985981E+00  -2.333108E-01   1.914942577E+00
    71   13569.069633   6.102800E-05   1.017238E+11    1.39746E+29   1.699991564E+00  -2.324847E-01   1.914949653E+00
    72   13604.004989   4.043435E-05   6.737766E+10    8.28620E+28   1.699994948E+00  -2.317252E-01   1.914953943E+00
    73   13635.493417   2.632474E-05   4.383156E+10    4.88341E+28   1.699996996E+00  -2.310449E-01   1.914956537E+00
    74   13664.194793   1.756066E-05   2.923288E+10    2.88012E+28   1.699998214E+00  -2.304284E-01   1.914958080E+00
    75   13689.717611   1.149151E-05   1.911813E+10    1.70332E+28   1.699998936E+00  -2.298830E-01   1.914958995E+00
    76   13712.911873   7.444083E-06   1.238271E+10    1.00996E+28   1.699999365E+00  -2.293896E-01   1.914959539E+00
